seed,experiment,treatment,control,diff
24220,E4_goal_directed,0.2,0.044444444444444446,0.15555555555555556
24220,E5_recursive_strengthening,0.9946745879359895,0.12319448740890994,0.8714801005270796
24220,E6_clone_divergence,0.037035393428840276,0.0,0.037035393428840276
24220,E7_observation_x_thought,0.245,0.039301310043668124,0.20569868995633186
24220,E8_dream_recombination,1.0,0.0,1.0
24220,E9_lora_validated_internalization,0.984000027179718,0.8619999885559082,0.12200003862380981
24220,E10_validated_vs_unvalidated,0.9514285922050476,0.8214285969734192,0.12999999523162842
24220,E11_verified_sharpening,0.9837499856948853,0.9225000143051147,0.06124997138977051
24220,E12_anchor_preservation,0.8119999766349792,0.7300000190734863,0.08199995756149292
24273,E1_recall_competition,0.3672301890053418,0.05310959956499943,0.3141205894403424
24273,E2_associative_chain,0.6863636363636364,0.031818181818181815,0.6545454545454545
24273,E3_endogenous_transfer,0.225,0.0,0.225
24273,E4_goal_directed,0.23333333333333334,0.06111111111111111,0.17222222222222222
24273,E5_recursive_strengthening,0.9948474043033099,0.12682169152783818,0.8680257127754717
24273,E6_clone_divergence,0.03659040064089102,0.0,0.03659040064089102
24273,E7_observation_x_thought,0.17733990147783252,0.01702127659574468,0.16031862488208784
24273,E8_dream_recombination,1.0,0.0,1.0
24273,E9_lora_validated_internalization,0.9419999718666077,0.5740000009536743,0.36799997091293335
24273,E10_validated_vs_unvalidated,0.9399999976158142,0.550000011920929,0.38999998569488525
24273,E11_verified_sharpening,0.9599999785423279,0.7450000047683716,0.2149999737739563
24273,E12_anchor_preservation,0.8920000195503235,0.7699999809265137,0.12200003862380981
24326,E1_recall_competition,0.3723671431037709,0.052127190290489435,0.32023995281328144
24326,E2_associative_chain,0.6318181818181818,0.01818181818181818,0.6136363636363636
24326,E3_endogenous_transfer,0.31666666666666665,0.0,0.31666666666666665
24326,E4_goal_directed,0.19444444444444445,0.06666666666666667,0.12777777777777777
24326,E5_recursive_strengthening,0.9946839469307043,0.12338563055579285,0.8712983163749114
24326,E6_clone_divergence,0.03811920039573284,0.0,0.03811920039573284
